Antibody	Gene
CD3	CD3D
CD3	CD3E
CD3	CD3G
CD4	CD4
CD8a	CD8A
CD14	CD14
CD15	FUT4
CD16	FCGR3A
CD16	FCGR3B
CD19	CD19
CD25	IL2RA
CD28	CD28
CD40	CD40
CD45	PTPRC
CD45RA	PTPRC
CD45RO	PTPRC
CD56	NCAM1
CD86	CD86
CD127	IL7R
CTLA-4	CTLA4
PD-L1	CD274
PD-1	PDCD1
TIGIT	TIGIT
B7-H4	VTCN1
CCR4	CCR4
CXCR5	CXCR5
CXCR3	CXCR3
CCR7	CCR7
NKG2D	KLRK1
TCRgd	TRG
TCRgd	TRD
CD103	ITGAE
CD34	CD34
CD141	THBD
HER2	ERBB2
CD1C	CD1C
CD69	CD69
CD44	CD44
CCR6	CCR6
EPCAM	EPCAM
EGFR	EGFR
CD31	PECAM1
CD1d	CD1D
CD40LG	CD40LG
c-KIT	KIT
CCR5	CCR5
PDGFRA	PDGFRA
CRTH2	PTGDR2
CD5	CD5
MHCII	HLA-DPB1
MHCI	HLA-E
CD62L	SELL
CD11C	ITGAX
PDGFRb	PDGFRB
B7H3	CD276
Thy-1	THY1
CD27	CD27
CD10	MME
CD80	CD80
B7-H2	ICOSLG
BTLA	BTLA
CD47	CD47
TACTILE	CD96
4-1BBL	TNFSF9
CD48	CD48
BCMA	TNFRSF17
LAG-3	LAG3
LFA-3	CD58
2B4	CD244
CD11b	ITGAM
CR2	CR2
FAS-L	FASLG
CD66b	CEACAM8
CD39	ENTPD1
GITR	TNFRSF18
HVEM	TNFRSF14
CD161	KLRB1
CD57	B3GAT1
PD-L2	PDCD1LG2
ICOS	ICOS
ICOSL	ICOSLG
CD163	CD163
OX40	TNFSF4
PVR	PVR
FAS	FAS
NKP46	NCR1
IgD	IGHD
4-1BB	TNFSF9
CD38	CD38
KLRG1	KLRG1
MCAM	MCAM
TIM-3	HAVCR2
CD2	CD2
CD49b	ITGA2
DNAM-1	CD226
CD123	IL3RA
Nectin-2	PVRL2
IgG1	IgG1
IgG2a	IgG2a
IgG2b	IgG2b
